Date_,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,RSI_,SMA50_,SMA20_,UpperBB_,MiddleBB_,LowerBB_,Signal_T,SMA50_NVDA,SMA200_NVDA,sma_label,Signal
2024-12-26,139.92999267578125,140.85000610351562,137.72999572753906,139.6999969482422,116205600,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,,,0,0.0
2024-12-27,137.00999450683594,139.02000427246094,134.7100067138672,138.5500030517578,170582600,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,,,0,0.0
2024-12-30,137.49000549316406,140.27000427246094,134.02000427246094,134.8300018310547,167734700,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,,,0,0.0
2024-12-31,134.2899932861328,138.07000732421875,133.8300018310547,138.02999877929688,155659200,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,,,0,0.0
2025-01-02,138.30999755859375,138.8800048828125,134.6300048828125,136.0,198247200,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,137.40599670410157,,0,0.0
2025-01-03,144.47000122070312,144.89999389648438,139.72999572753906,140.00999450683594,229322500,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,138.31399841308593,,0,0.0
2025-01-06,149.42999267578125,152.16000366210938,147.82000732421875,148.58999633789062,265377400,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,140.797998046875,,0,0.0
2025-01-07,140.13999938964844,153.1300048828125,140.00999450683594,153.02999877929688,351782200,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,141.32799682617187,,0,0.0
2025-01-08,140.11000061035156,143.9499969482422,137.55999755859375,142.5800018310547,227349900,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,142.49199829101562,,0,0.0
2025-01-10,135.91000366210938,139.9199981689453,134.22000122070312,137.4499969482422,207602500,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,142.01199951171876,139.70899810791016,1,0.0
2025-01-13,133.22999572753906,133.49000549316406,129.50999450683594,129.99000549316406,204808900,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,139.76399841308594,139.03899841308595,1,0.0
2025-01-14,131.75999450683594,136.3800048828125,130.0500030517578,136.0500030517578,195590500,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,136.22999877929686,138.51399841308594,-1,0.0
2025-01-15,136.24000549316406,136.4499969482422,131.2899932861328,133.64999389648438,185217300,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,135.45,138.38899841308594,-1,0.0
2025-01-16,133.57000732421875,138.75,133.49000549316406,138.63999938964844,209235600,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,134.14200134277343,138.31699981689454,-1,0.0
2025-01-17,137.7100067138672,138.5,135.4600067138672,136.69000244140625,201188800,47.81066591787285,,,151.46048768322538,138.2879997253418,125.1155117674582,0,134.502001953125,138.2570007324219,-1,0.0
2025-01-21,140.8300018310547,141.8300018310547,137.08999633789062,139.16000366210938,197749000,51.05439170492635,,,151.46048768322538,138.2879997253418,125.1155117674582,0,136.02200317382812,137.89300079345702,-1,0.0
2025-01-22,147.07000732421875,147.7899932861328,143.6699981689453,144.66000366210938,237651400,56.83307897144728,,,151.46048768322538,138.2879997253418,125.1155117674582,0,139.0840057373047,137.6570022583008,1,0.0
2025-01-23,147.22000122070312,147.22999572753906,143.72000122070312,145.0500030517578,155915500,56.964605859537286,,,151.46048768322538,138.2879997253418,125.1155117674582,0,141.2800048828125,138.36500244140626,1,0.0
2025-01-24,142.6199951171875,148.97000122070312,141.8800048828125,148.3699951171875,233818600,51.75630308010085,,,151.46048768322538,138.2879997253418,125.1155117674582,0,143.09000244140626,138.61600189208986,1,0.0
2025-01-27,118.41999816894531,128.39999389648438,116.69999694824219,124.79000091552734,793992063,34.09498219043842,,138.2879997253418,151.46048768322538,138.2879997253418,125.1155117674582,0,139.23200073242188,136.86700134277345,1,0.0
